Address,City,ZipCode,Bedrooms,Bathrooms,SquareFeet,Price,RentEstimate,MonthlyCost,ProposedPrice,NOI,CapRate,
9408 Pavo Ln ,TRUE,79907,8,4.5,3595,300000,3520,2916.42627,270000,603.5737305,2.682549913,
1577 Dale Douglas Dr ,TRUE,79936,3,2,1437,150000,1750,1457.013062,135000,292.9869385,2.604328342,
860 Ascencion St ,TRUE,79928,2,2,1146,120000,1395,1165.010498,108000,229.989502,2.555438911,
8400 Bowers Ave ,TRUE,79907,4,5,2750,340000,3950,3300.562988,306000,649.4370117,2.546811811,
14564 Achim Dr ,TRUE,79928,4,3,1586,156000,1795,1512.293579,140400,282.7064209,2.416294196,
1316 Black Ridge Dr ,TRUE,79912,3,2.5,1997,305000,3500,2955.593262,274500,544.4067383,2.379920167,
8170 Sharp Rd ,TRUE,79907,3,2,1345,139900,1600,1355.047607,125910,244.9523926,2.334547463,
7521 Benson Dr ,TRUE,79915,3,2,1216,140000,1600,1355.878906,126000,244.1210938,2.324962798,
11831 Vere Leasure Dr ,TRUE,79936,3,2,1136,185000,2100,1789.982788,166500,310.0172119,2.234358284,
458 Chapel Pl ,TRUE,79907,2,2,1940,149950,1700,1450.597412,134955,249.4025879,2.217651109,
4249 Osceola St ,TRUE,79938,5,4,3448,264950,3000,2562.640869,238455,437.3591309,2.200964362,
5725 Tamburo Ct ,TRUE,79905,4,2,1397,115000,1295,1111.443359,103500,183.5566406,2.128192935,
4761 Debeers Dr ,TRUE,79924,3,1.5,1544,160000,1800,1546.147339,144000,253.8526611,2.115438843,
14653 Alton Oaks Ave ,TRUE,79938,3,2,1797,249000,2800,2406.041748,224100,393.958252,2.109548873,
2928 E San Antonio Ave ,TRUE,79905,4,3,2116,167200,1875,1615.003906,150480,259.9960938,2.073334081,
14908 Bert Cameron Ave ,TRUE,79938,4,2,1800,249999,2800,2414.346924,224999.1,385.6530762,2.056824634,
5139 Garry Owen Rd ,TRUE,79903,4,2,2552,219900,2450,2122.121094,197910,327.8789063,1.988048545,
12937 Tierra Salas ,TRUE,79938,4,2.5,2262,224950,2500,2170.104004,202455,329.8959961,1.955373764,
13116 Mystic Dr ,TRUE,79938,3,2.5,1958,180000,1995,1735.815674,162000,259.1843262,1.919883898,
14406 Armando Silva Dr ,TRUE,79938,3,2,1136,189950,2100,1831.134277,170955,268.8657227,1.887273652,
2215 Marr St ,TRUE,79903,2,1,1588,120000,1325,1156.610474,108000,168.3895264,1.870994737,
2414 San Diego Ave ,TRUE,79930,4,2,1924,154000,1700,1484.266724,138600,215.7332764,1.867820575,
