Address,City,ZipCode,Bedrooms,Bathrooms,SquareFeet,ListedPrice,RentEstimate,MonthlyCost,
11448 Tom Ulozas Dr ,1,79936,3,2,1487,215000,1495,1966.785439,
"Journey Plan, The View at Desert Springs | Thoughtful Collection Community ",1,79911,4,3,1938,417900,1750,3684.178488,
"Sotol Plan, Hidden Village Community ",1,79924,4,3,2562,325900,3200,3093.343788,
"Nolina Plan, Hidden Village Community ",1,79924,3,2.5,1722,288900,1545,2587.147224,
"Azure Plan, Peyton Estates Community ",1,79928,5,4.5,2654,325900,2145,2966.743788,
"Zen Plan, The View at Desert Springs | Thoughtful Collection Community ",1,79911,3,2.5,2280,435900,2800,3959.820059,
"Bliss Plan, The View at Desert Springs | Thoughtful Collection Community ",1,79911,5,2.5,2692,468900,2235,4166.36294,
9002 Rancich St ,1,79904,4,3,2656,250000,1875,2303.355161,
"The Ranger Plan, Hillside Park Community ",1,79928,3,2,1871,295900,1700,2663.941169,
"Scottsdale Plan, Hillside Park Community ",1,79928,4,3,1860,306900,1895,2778.788796,
9518 Iris Dr ,1,79924,3,2,920,159900,1195,1472.715961,
11869 Oak Crossing Dr ,1,79936,3,2,1393,239000,1495,2166.307534,
"Elation Plan, Tierra del Este 82 Community ",1,79938,3,2.5,2130,274950,1725,2492.775006,
13421 Boody Ct ,0,79928,5,4,3939,275000,3300,2682.190677,
325 Alvarez Dr ,1,79932,4,3,2243,277000,2185,2565.017519,
"The Lindale Plan, Hillside Park Community ",1,79928,4,3,2155,316900,2600,2946.523002,
"Scottsdale Plan, Peyton Estates Community ",1,79928,4,3,1860,306900,1895,2778.788796,
316 Kingswood Dr ,1,79932,5,3,4047,619998,3300,5550.304173,
2828 Tierra Oasis St ,1,79938,4,2,1521,236000,1500,2141.967272,
3521 Idalia Ave ,1,79930,2,2,1173,179900,1425,1666.584374,
"Prickly Pear Plan, Peyton Estates Community ",1,79928,4,2,1482,254900,1600,2311.090922,
"Azure Plan, Hillside Park Community ",1,79928,4,4.5,2654,355900,2145,3216.146408,
4273 Loma Azteca Ct ,1,79934,5,3.5,3237,375000,3100,3489.532742,
200 W Sunset Rd ,1,79922,6,6,4516,1058680,3300,9197.252168,
401 Buena Vista St ,1,79905,3,2,1296,164999,1519,1553.986093,
6060 E Yandell Dr ,1,79905,3,1,1144,79900,1350,826.2423095,
317 Pasodale Rd ,1,79907,3,2,1866,165000,2450,1665.714406,
14248 Bailee Point Ln ,1,79938,4,2.5,2019,270000,2200,2508.623574,
8317 McFall Dr ,1,79925,4,3,2012,284900,2000,2608.493542,
5735 Mira Grande Dr ,1,79912,3,2,2033,330000,2270,3015.828813,
11848 Auburn Sands Dr ,1,79934,3,2,1394,200000,1625,1857.684129,
15511 Stratford Rd ,1,79928,5,4.5,3772,379950,3300,3554.684174,
617 Alta Cumbre Pl ,1,79912,4,2.5,2226,400000,2650,3643.368258,
14273 Tierra Yamila Ln ,1,79938,3,2,1136,200000,2100,1914.684129,
11908 Diego Rivera Dr ,1,79936,3,2,1031,178800,1300,1642.439611,
10713 Canyon Sage Dr ,1,79924,3,2,1346,135000,1600,1314.311787,
6705 Los Altos Dr ,1,79912,3,2,1803,265500,1995,2446.613181,
5717 Saplinas Rd ,1,79932,4,2,1759,250000,1400,2246.355161,
213 Montebello Dr ,1,79912,3,2,1298,195000,1519,1803.397026,
3648 Silver Palm Dr ,1,79936,4,2,1791,128000,1995,1303.517843,
3231 Zion Ln ,1,79904,5,3,2978,409800,1900,3634.83978,
5729 Mira Grande Dr ,1,79912,3,3.5,3082,490000,1900,4301.576116,
10863 Loma De Alma Dr ,1,79934,4,2,2228,325000,2135,2958.06171,
7305 Lakehurst Rd ,1,79912,3,2,1249,220000,1325,1987.952542,
1100 Regal Ridge Dr ,1,79912,4,2.5,2396,399950,2070,3573.352587,
1267 John Phelan Dr ,1,79936,3,2,1978,295000,1595,2643.85909,
2901 Gold Ave ,1,79930,4,2,3352,339999,2200,3090.554706,
379 Flemish Cir ,1,79912,3,2,1546,245000,1800,2252.788058,
1800 N Stanton St Apt 401 ,1,79902,2,2,1153,179000,1350,1650.102295,
14370 Loma Esmeralda Dr ,1,79938,3,2,1708,205995,1895,1939.923086,
211 S Carolina Dr ,1,79915,3,2,1154,103000,1350,1018.282326,
14564 Achim Dr ,1,79928,4,3,1586,156000,1795,1512.293621,
7345 Enchanted Blf ,1,79911,4,3,2563,577550,3200,5185.416093,
14600 Christian Castle Ave ,1,79938,4,2.5,2068,274500,1835,2502.233967,
2869 Time Rock Pl ,1,79938,4,2,1638,265000,1800,2419.056471,
10909 Lakewood Ave ,1,79935,3,2,1796,245000,1995,2276.188058,
924 Abe Goldberg Dr ,1,79932,4,2.5,2023,395000,2095,3535.201155,
14385 Tobe Davis Dr ,0,79928,4,2,1429,238000,1400,2146.594113,
2016 Shadow Ridge Dr ,1,79938,5,3,2460,359995,2600,3304.789865,
4945 Vista Grande Cir ,1,79922,5,3,3059,489500,1900,4297.419406,
789 Oxfordshire St ,1,79928,3,2,1402,245770,1625,2238.189392,
784 Villa Vanessa Dr ,1,79912,3,2.5,1900,330000,2135,2999.628813,
3314 E San Antonio Ave ,1,79905,3,3,1495,165000,1350,1533.714406,
10004 Saigon Dr ,1,79925,3,2,2005,215000,1795,2002.785439,
2810 Van Buren Ave ,1,79930,3,2,1110,105000,1795,1088.309168,
